Implementation,Length,Dyadic Order,Run,Result
Baseline,16,0,1,0.07483778999994684
Baseline,16,0,2,0.06870630299999902
Baseline,16,0,3,0.07240757199906511
Baseline,16,0,4,0.07095026000024518
Baseline,16,0,5,0.06892166699981317
Baseline,16,0,6,0.07025154199982353
Baseline,16,0,7,0.06959690999974555
Baseline,16,0,8,0.06952889400054119
Baseline,16,0,9,0.06886479499917186
Baseline,16,0,10,0.06950144399888813
Baseline,16,0,11,0.07111662200077262
Baseline,16,0,12,0.06675136599915277
Baseline,16,0,13,0.06755283599886752
Baseline,16,0,14,0.07117339500109665
Baseline,16,0,15,0.0693484069997794
Baseline,16,0,16,0.07109387300079106
Baseline,16,0,17,0.071896254999956
Baseline,16,0,18,0.06945427800019388
Baseline,16,0,19,0.06755004200022086
Baseline,16,0,20,0.06645830799971009
Baseline,16,0,21,0.06697915599943371
Baseline,16,0,22,0.067457821998687
Baseline,16,0,23,0.06710805500006245
Baseline,16,0,24,0.06837116199858428
Baseline,16,0,25,0.07002269699842145
Baseline,16,0,26,0.07088818200099922
Baseline,16,0,27,0.06687394300024607
Baseline,16,0,28,0.07353036599852203
Baseline,16,0,29,0.07070419199953903
Baseline,16,0,30,0.07423057199957839
Improved,16,0,1,0.045082241000272916
Improved,16,0,2,0.04397189900009835
Improved,16,0,3,0.043309484999554115
Improved,16,0,4,0.04330107399982808
Improved,16,0,5,0.04377386800115346
Improved,16,0,6,0.0435949000002438
Improved,16,0,7,0.04547074200127099
Improved,16,0,8,0.04554793699935544
Improved,16,0,9,0.042568650000248454
Improved,16,0,10,0.04597487700084457
Improved,16,0,11,0.04417358800128568
Improved,16,0,12,0.043571019001319655
Improved,16,0,13,0.04524451499855786
Improved,16,0,14,0.044336353999824496
Improved,16,0,15,0.04449666800064733
Improved,16,0,16,0.04401738599881355
Improved,16,0,17,0.043581863999861525
Improved,16,0,18,0.04342108200035
Improved,16,0,19,0.04107530800138193
Improved,16,0,20,0.04079822700077784
Improved,16,0,21,0.0428552409994154
Improved,16,0,22,0.04093291100070928
Improved,16,0,23,0.04091855799924815
Improved,16,0,24,0.04166237100071157
Improved,16,0,25,0.041110853000645875
Improved,16,0,26,0.041034898000361864
Improved,16,0,27,0.04118070600088686
Improved,16,0,28,0.04180385700055922
Improved,16,0,29,0.041581626999686705
Improved,16,0,30,0.04126134800026193
Improved Alt,16,0,1,0.04355301800023881
Improved Alt,16,0,2,0.04162454300058016
Improved Alt,16,0,3,0.041868997001074604
Improved Alt,16,0,4,0.04103388600015023
Improved Alt,16,0,5,0.04118966200076102
Improved Alt,16,0,6,0.04144013699988136
Improved Alt,16,0,7,0.04185160499946505
Improved Alt,16,0,8,0.04400678000092739
Improved Alt,16,0,9,0.04397764599889342
Improved Alt,16,0,10,0.04427196600045136
Improved Alt,16,0,11,0.043887330999496044
Improved Alt,16,0,12,0.044253170999581926
Improved Alt,16,0,13,0.04377413200018054
Improved Alt,16,0,14,0.04446072100108722
Improved Alt,16,0,15,0.043494773000929854
Improved Alt,16,0,16,0.04225149500052794
Improved Alt,16,0,17,0.043187302000660566
Improved Alt,16,0,18,0.043850129999555065
Improved Alt,16,0,19,0.04644747699967411
Improved Alt,16,0,20,0.04318241800137912
Improved Alt,16,0,21,0.04485001399916655
Improved Alt,16,0,22,0.045345526001256076
Improved Alt,16,0,23,0.04298343700065743
Improved Alt,16,0,24,0.042947209998601465
Improved Alt,16,0,25,0.04307708200030902
Improved Alt,16,0,26,0.04339523400085454
Improved Alt,16,0,27,0.043082923999463674
Improved Alt,16,0,28,0.04290775000117719
Improved Alt,16,0,29,0.042646317999242456
Improved Alt,16,0,30,0.04272012399997038
Baseline,32,0,1,0.0817460830003256
Baseline,32,0,2,0.07999086199924932
Baseline,32,0,3,0.07821831599903817
Baseline,32,0,4,0.0772202499993
Baseline,32,0,5,0.07745105700087151
Baseline,32,0,6,0.07344098199973814
Baseline,32,0,7,0.07594559999961348
Baseline,32,0,8,0.0812750999994023
Baseline,32,0,9,0.08114492900131154
Baseline,32,0,10,0.07828764800069621
Baseline,32,0,11,0.07862852499965811
Baseline,32,0,12,0.07873686100174382
Baseline,32,0,13,0.08166504000109853
Baseline,32,0,14,0.07392660300138232
Baseline,32,0,15,0.07295802700173226
Baseline,32,0,16,0.07267846399918199
Baseline,32,0,17,0.07898375799959467
Baseline,32,0,18,0.07956271399962134
Baseline,32,0,19,0.07488041699980386
Baseline,32,0,20,0.07985889900010079
Baseline,32,0,21,0.07804913400104851
Baseline,32,0,22,0.07658738500140316
Baseline,32,0,23,0.07857667399912316
Baseline,32,0,24,0.07771687199965527
Baseline,32,0,25,0.07905433500127401
Baseline,32,0,26,0.07735207299992908
Baseline,32,0,27,0.0782661699995515
Baseline,32,0,28,0.07998206999945978
Baseline,32,0,29,0.07991014999970503
Baseline,32,0,30,0.07854594700074813
Improved,32,0,1,0.04423285600023519
Improved,32,0,2,0.04517689100066491
Improved,32,0,3,0.044719449999320204
Improved,32,0,4,0.04528765099894372
Improved,32,0,5,0.04532043899962446
Improved,32,0,6,0.045355483000093955
Improved,32,0,7,0.04589947100066638
Improved,32,0,8,0.04531111200049054
Improved,32,0,9,0.04390036599943414
Improved,32,0,10,0.04191232300036063
Improved,32,0,11,0.04339658599928953
Improved,32,0,12,0.04207422699982999
Improved,32,0,13,0.04375056600110838
Improved,32,0,14,0.04486681500020495
Improved,32,0,15,0.044336553999528405
Improved,32,0,16,0.04375407999941672
Improved,32,0,17,0.04548807500032126
Improved,32,0,18,0.045827436000763555
Improved,32,0,19,0.04640804199880222
Improved,32,0,20,0.045518117000028724
Improved,32,0,21,0.04564880699945206
Improved,32,0,22,0.04621089899956132
Improved,32,0,23,0.04475568999987445
Improved,32,0,24,0.043572230999416206
Improved,32,0,25,0.04370609099896683
Improved,32,0,26,0.044503357999928994
Improved,32,0,27,0.04499240500081214
Improved,32,0,28,0.04586878299960517
Improved,32,0,29,0.04487249100020563
Improved,32,0,30,0.046088364000752335
Improved Alt,32,0,1,0.0453079010003421
Improved Alt,32,0,2,0.04458862299907196
Improved Alt,32,0,3,0.04387224600031914
Improved Alt,32,0,4,0.04621462999966752
Improved Alt,32,0,5,0.04608391799956735
Improved Alt,32,0,6,0.04581338599928131
Improved Alt,32,0,7,0.04566850699848146
Improved Alt,32,0,8,0.04440941299981205
Improved Alt,32,0,9,0.04522537199954968
Improved Alt,32,0,10,0.04675918700013426
Improved Alt,32,0,11,0.044250054999793065
Improved Alt,32,0,12,0.04191667899976892
Improved Alt,32,0,13,0.04197998600102437
Improved Alt,32,0,14,0.04338963900045201
Improved Alt,32,0,15,0.04492057099923841
Improved Alt,32,0,16,0.047030884999912814
Improved Alt,32,0,17,0.046019089000765234
Improved Alt,32,0,18,0.04519962800077337
Improved Alt,32,0,19,0.045043005999104935
Improved Alt,32,0,20,0.04413765900062572
Improved Alt,32,0,21,0.043362383999919984
Improved Alt,32,0,22,0.04318216600040614
Improved Alt,32,0,23,0.04325883099954808
Improved Alt,32,0,24,0.04330585599927872
Improved Alt,32,0,25,0.04310410099969886
Improved Alt,32,0,26,0.04385081799955515
Improved Alt,32,0,27,0.04401800900086528
Improved Alt,32,0,28,0.043481059999976424
Improved Alt,32,0,29,0.044686457000352675
Improved Alt,32,0,30,0.04406947399911587
Baseline,64,0,1,0.09456940600102826
Baseline,64,0,2,0.09325511700080824
Baseline,64,0,3,0.09281792900037544
Baseline,64,0,4,0.09380091400089441
Baseline,64,0,5,0.09316287700130488
Baseline,64,0,6,0.0926366159983445
Baseline,64,0,7,0.09720514899890986
Baseline,64,0,8,0.09683097299966903
Baseline,64,0,9,0.09591350199843873
Baseline,64,0,10,0.0951054369998019
Baseline,64,0,11,0.0957955799985939
Baseline,64,0,12,0.09308750000127475
Baseline,64,0,13,0.09619782099980512
Baseline,64,0,14,0.09373349299858091
Baseline,64,0,15,0.09459870899991074
Baseline,64,0,16,0.09429491899936693
Baseline,64,0,17,0.09490979299880564
Baseline,64,0,18,0.09502327100017283
Baseline,64,0,19,0.09007530499911809
Baseline,64,0,20,0.09079023699996469
Baseline,64,0,21,0.09278217300015967
Baseline,64,0,22,0.09198037500027567
Baseline,64,0,23,0.08873098000003665
Baseline,64,0,24,0.08828517599977204
Baseline,64,0,25,0.08891576299902226
Baseline,64,0,26,0.09766640700036078
Baseline,64,0,27,0.09239058800085331
Baseline,64,0,28,0.09376735200021358
Baseline,64,0,29,0.09480863600037992
Baseline,64,0,30,0.09429071900012787
Improved,64,0,1,0.046723135999855
Improved,64,0,2,0.04348830100025225
Improved,64,0,3,0.04520702700028778
Improved,64,0,4,0.04293780800071545
Improved,64,0,5,0.04349558099966089
Improved,64,0,6,0.04227639700002328
Improved,64,0,7,0.04525525799908792
Improved,64,0,8,0.045064306001222576
Improved,64,0,9,0.04682302999935928
Improved,64,0,10,0.04465580800024327
Improved,64,0,11,0.04347572799997579
Improved,64,0,12,0.04560111700084235
Improved,64,0,13,0.0418082760006655
Improved,64,0,14,0.042777990998729365
Improved,64,0,15,0.04584633800004667
Improved,64,0,16,0.04609686900039378
Improved,64,0,17,0.0454897700001311
Improved,64,0,18,0.04698751300020376
Improved,64,0,19,0.04876213799980178
Improved,64,0,20,0.046780980001130956
Improved,64,0,21,0.045142343999032164
Improved,64,0,22,0.046926990999054397
Improved,64,0,23,0.045250237999425735
Improved,64,0,24,0.044090774999858695
Improved,64,0,25,0.04377635400123836
Improved,64,0,26,0.04761068700099713
Improved,64,0,27,0.04621203300121124
Improved,64,0,28,0.04620459400030086
Improved,64,0,29,0.04461742400053481
Improved,64,0,30,0.04828225399978692
Improved Alt,64,0,1,0.04715012800079421
Improved Alt,64,0,2,0.045219548999739345
Improved Alt,64,0,3,0.046897370000806404
Improved Alt,64,0,4,0.04535039899928961
Improved Alt,64,0,5,0.045419476000461145
Improved Alt,64,0,6,0.04681774600067001
Improved Alt,64,0,7,0.045116541999959736
Improved Alt,64,0,8,0.04561414199997671
Improved Alt,64,0,9,0.04586134700002731
Improved Alt,64,0,10,0.04580875899955572
Improved Alt,64,0,11,0.04720111300048302
Improved Alt,64,0,12,0.04488282199963578
Improved Alt,64,0,13,0.04471449100128666
Improved Alt,64,0,14,0.04508846499993524
Improved Alt,64,0,15,0.04508382799940591
Improved Alt,64,0,16,0.04476779899960093
Improved Alt,64,0,17,0.044188428999405005
Improved Alt,64,0,18,0.04221171300014248
Improved Alt,64,0,19,0.04228330899968569
Improved Alt,64,0,20,0.04202444800102967
Improved Alt,64,0,21,0.04215273400041042
Improved Alt,64,0,22,0.04194405799898959
Improved Alt,64,0,23,0.04206287799934216
Improved Alt,64,0,24,0.04256700299993099
Improved Alt,64,0,25,0.042623348999768496
Improved Alt,64,0,26,0.043276190999677056
Improved Alt,64,0,27,0.042918877999909455
Improved Alt,64,0,28,0.042888299001788255
Improved Alt,64,0,29,0.044875849000163726
Improved Alt,64,0,30,0.043815518998599146
Baseline,128,0,1,0.13418732199897931
Baseline,128,0,2,0.12813295399973867
Baseline,128,0,3,0.13414997400104767
Baseline,128,0,4,0.1282165039992833
Baseline,128,0,5,0.12997415000063484
Baseline,128,0,6,0.12155602799975895
Baseline,128,0,7,0.1300795199986169
Baseline,128,0,8,0.13086624300012772
Baseline,128,0,9,0.11872496199976013
Baseline,128,0,10,0.12543448499855003
Baseline,128,0,11,0.13318758900095418
Baseline,128,0,12,0.1285915219996241
Baseline,128,0,13,0.12052915999993274
Baseline,128,0,14,0.12212234899925534
Baseline,128,0,15,0.1269188269998267
Baseline,128,0,16,0.12068123000062769
Baseline,128,0,17,0.12337913899864361
Baseline,128,0,18,0.12828755200098385
Baseline,128,0,19,0.12582422800005588
Baseline,128,0,20,0.12685881899960805
Baseline,128,0,21,0.13220290200115414
Baseline,128,0,22,0.12610122600017348
Baseline,128,0,23,0.12739171800058102
Baseline,128,0,24,0.12624960399989504
Baseline,128,0,25,0.12688850599988655
Baseline,128,0,26,0.12770510500013188
Baseline,128,0,27,0.12535048599966103
Baseline,128,0,28,0.12580552800136502
Baseline,128,0,29,0.127740501999142
Baseline,128,0,30,0.12706080899988592
Improved,128,0,1,0.04400058600003831
Improved,128,0,2,0.0441861079998489
Improved,128,0,3,0.04281134500160988
Improved,128,0,4,0.04578033699908701
Improved,128,0,5,0.0443084340004134
Improved,128,0,6,0.04247416699945461
Improved,128,0,7,0.04241615399951115
