Implementation,Length,Dyadic Order,Run,Result
Baseline,16,1,1,0.07241091600008076
Baseline,16,1,2,0.07043783700100903
Baseline,16,1,3,0.08407042699946032
Baseline,16,1,4,0.07053625200023816
Baseline,16,1,5,0.07121630599976925
Baseline,16,1,6,0.06817331099955481
Baseline,16,1,7,0.06637169199893833
Baseline,16,1,8,0.06492016999982297
Baseline,16,1,9,0.06966095799907635
Baseline,16,1,10,0.06612763600060134
Baseline,16,1,11,0.07448912799918617
Baseline,16,1,12,0.07093813600113208
Baseline,16,1,13,0.07056485300017812
Baseline,16,1,14,0.07221047799976077
Baseline,16,1,15,0.06920872799855715
Baseline,16,1,16,0.07114230099978158
Baseline,16,1,17,0.07217295800001011
Baseline,16,1,18,0.0683057229998667
Baseline,16,1,19,0.07257307699910598
Baseline,16,1,20,0.06951081800070824
Baseline,16,1,21,0.06710106900027313
Baseline,16,1,22,0.06559243099945888
Baseline,16,1,23,0.06719351799983997
Baseline,16,1,24,0.06894846300019708
Baseline,16,1,25,0.0679330109996954
Baseline,16,1,26,0.06757871100126067
Baseline,16,1,27,0.0679968309996184
Baseline,16,1,28,0.07168263200037472
Baseline,16,1,29,0.06689324700164434
Baseline,16,1,30,0.07018209499983641
Improved,16,1,1,0.04292982600054529
Improved,16,1,2,0.04341093899893167
Improved,16,1,3,0.04042349599876616
Improved,16,1,4,0.04583845900015149
Improved,16,1,5,0.04032573800031969
Improved,16,1,6,0.04035222300080932
Improved,16,1,7,0.040397644999757176
Improved,16,1,8,0.042038994000904495
Improved,16,1,9,0.04322080200108758
Improved,16,1,10,0.04537175899895374
Improved,16,1,11,0.046795981001196196
Improved,16,1,12,0.043378525000662194
Improved,16,1,13,0.04258408200075792
Improved,16,1,14,0.04226823200042418
Improved,16,1,15,0.04403498300052888
Improved,16,1,16,0.04420313100126805
Improved,16,1,17,0.041745362999790814
Improved,16,1,18,0.042823957999644335
Improved,16,1,19,0.04479168699981528
Improved,16,1,20,0.04364622600041912
Improved,16,1,21,0.04304033199878177
Improved,16,1,22,0.04406646799907321
Improved,16,1,23,0.043289131001074566
Improved,16,1,24,0.04359630399994785
Improved,16,1,25,0.044239687000299455
Improved,16,1,26,0.042307793999498244
Improved,16,1,27,0.04046898799970222
Improved,16,1,28,0.041295684000942856
Improved,16,1,29,0.044313332000456285
Improved,16,1,30,0.044779869000194594
Improved Alt,16,1,1,0.046635263999633025
Improved Alt,16,1,2,0.04549319999932777
Improved Alt,16,1,3,0.0449330600004032
Improved Alt,16,1,4,0.04387698200116574
Improved Alt,16,1,5,0.043975829999908456
Improved Alt,16,1,6,0.04278123000040068
Improved Alt,16,1,7,0.042300193999835756
Improved Alt,16,1,8,0.042462838000574266
Improved Alt,16,1,9,0.043385138998928596
Improved Alt,16,1,10,0.04386091500055045
Improved Alt,16,1,11,0.043841206999786664
Improved Alt,16,1,12,0.04242127799989248
Improved Alt,16,1,13,0.040814766000039526
Improved Alt,16,1,14,0.040477373000612715
Improved Alt,16,1,15,0.040616094000142766
Improved Alt,16,1,16,0.04082178300086525
Improved Alt,16,1,17,0.04152829600025143
Improved Alt,16,1,18,0.04152644100031466
Improved Alt,16,1,19,0.04057706499952474
Improved Alt,16,1,20,0.04429999399872031
Improved Alt,16,1,21,0.04283110899996245
Improved Alt,16,1,22,0.04044438100027037
Improved Alt,16,1,23,0.040583010000773356
Improved Alt,16,1,24,0.042537786001048516
Improved Alt,16,1,25,0.042560810999930254
Improved Alt,16,1,26,0.04295099499904609
Improved Alt,16,1,27,0.04296097099904728
Improved Alt,16,1,28,0.04294281700094871
Improved Alt,16,1,29,0.04288425999948231
Improved Alt,16,1,30,0.04308986400064896
Baseline,32,1,1,0.08164219299942488
Baseline,32,1,2,0.07645778900041478
Baseline,32,1,3,0.07791599399934057
Baseline,32,1,4,0.07347112399838807
Baseline,32,1,5,0.07585645099970861
Baseline,32,1,6,0.07698595600049885
Baseline,32,1,7,0.07612533500105201
Baseline,32,1,8,0.07723883600010595
Baseline,32,1,9,0.0784403569996357
Baseline,32,1,10,0.07742733200029761
Baseline,32,1,11,0.07840707499963173
Baseline,32,1,12,0.07848565199856239
Baseline,32,1,13,0.07750205500087759
Baseline,32,1,14,0.0767564889993082
Baseline,32,1,15,0.07272651599851088
Baseline,32,1,16,0.07474991199887882
Baseline,32,1,17,0.07681252399925143
Baseline,32,1,18,0.07643963400005305
Baseline,32,1,19,0.07875554500060389
Baseline,32,1,20,0.07453923800130724
Baseline,32,1,21,0.0738905819998763
Baseline,32,1,22,0.07320325599903299
Baseline,32,1,23,0.07371742900068057
Baseline,32,1,24,0.07444176400167635
Baseline,32,1,25,0.0746439710001141
Baseline,32,1,26,0.0849599360008142
Baseline,32,1,27,0.07978734100106522
Baseline,32,1,28,0.0764054790015507
Baseline,32,1,29,0.07598655599940685
Baseline,32,1,30,0.07563157199911075
Improved,32,1,1,0.042324388999986695
Improved,32,1,2,0.04192798800067976
Improved,32,1,3,0.04367637499854027
Improved,32,1,4,0.04318751900063944
Improved,32,1,5,0.04277563700088649
Improved,32,1,6,0.04292876500039711
Improved,32,1,7,0.0442003839998506
Improved,32,1,8,0.045049856998957694
Improved,32,1,9,0.045766621000439045
Improved,32,1,10,0.04348722400027327
Improved,32,1,11,0.04291267200096627
Improved,32,1,12,0.04436086200075806
Improved,32,1,13,0.04170474700003979
Improved,32,1,14,0.04114109599868243
Improved,32,1,15,0.04073520100064343
Improved,32,1,16,0.04084739399877435
Improved,32,1,17,0.040711767000175314
Improved,32,1,18,0.04071458100042946
Improved,32,1,19,0.04095007799878658
Improved,32,1,20,0.04177387400159205
Improved,32,1,21,0.04355580999981612
Improved,32,1,22,0.04455771500033734
Improved,32,1,23,0.04085222399953636
Improved,32,1,24,0.04287132399986149
Improved,32,1,25,0.04239353299999493
Improved,32,1,26,0.044384124001226155
Improved,32,1,27,0.042831091001062305
Improved,32,1,28,0.04198349299986148
Improved,32,1,29,0.04164630900049815
Improved,32,1,30,0.041623952998634195
Improved Alt,32,1,1,0.04121242700057337
Improved Alt,32,1,2,0.043784362000224064
Improved Alt,32,1,3,0.04387863999909314
Improved Alt,32,1,4,0.04613711399906606
Improved Alt,32,1,5,0.04216883899971435
Improved Alt,32,1,6,0.0450100329999259
Improved Alt,32,1,7,0.04433502800020506
Improved Alt,32,1,8,0.0446921469992958
Improved Alt,32,1,9,0.045514362998801516
Improved Alt,32,1,10,0.044388078998963465
Improved Alt,32,1,11,0.043454323000332806
Improved Alt,32,1,12,0.04482543700032693
Improved Alt,32,1,13,0.04448667499855219
Improved Alt,32,1,14,0.04507494399877032
Improved Alt,32,1,15,0.04497265700047137
Improved Alt,32,1,16,0.04554005899990443
Improved Alt,32,1,17,0.04575885700069193
Improved Alt,32,1,18,0.04446261299926846
